short,category,sub_category,fmt,total_count,nfields,n_noncommon,noncommon_fields
animal_drug_wholesale,animal,animal_drug,v1,199,25,6,APVCANCELYMD CLGENDDT CLGSTDT RGTMBDSNO ROPNYMD SITEAREA
animal_hospital,animal,veterinary,v1,2227,25,6,APVCANCELYMD CLGENDDT CLGSTDT RGTMBDSNO ROPNYMD SITEAREA
animal_medical_device_sale,animal,animal_drug,v1,805,25,6,APVCANCELYMD CLGENDDT CLGSTDT RGTMBDSNO ROPNYMD SITEAREA
animal_pharmacy,animal,animal_drug,v1,4783,25,6,APVCANCELYMD CLGENDDT CLGSTDT RGTMBDSNO ROPNYMD SITEAREA
livestock_breeding,animal,breeding,v1,13,28,9,APVCANCELYMD CFRMGBNCTN CLGENDDT CLGSTDT LINDJOBGBNNM LINDSEQNO RGTMBDSNO ROPNYMD SITEAREA
amusement_etc,culture,amusement,v1,739,40,21,APVCANCELYMD BCFACILEN BDNGSRVNM CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM DISPENEN FACILAR FACILSCP GEICPFACILEN INFOBEN JISGNUMLAY MNFACTREARTCLCN NEARENVNM PLAYFACILCNT PLAYUTSCNTDTL REGNSENM SHPTOTTONS TOTNUMLAY UNDERNUMLAY
auto_campground,culture,camping,v1,5,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
billiard_hall,culture,sports,v1,14027,30,11,APVCANCELYMD BDNGDNGNUM BDNGYAREA BUPNM CLGENDDT CLGSTDT CULPHYEDCOBNM INSURJNYNCODE LDERCNT MEMCOLLTOTSTFNUM PUPRSENM
cinema,culture,film_video,v1,942,37,18,APVCANCELYMD BDNGSRVNM BGROOMCNT CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR FRSTREGTS JISGNUMLAY MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PERPLAFORMSENM REGNSENM TOTNUMLAY UNDERNUMLAY
city_tour_bus,culture,tourism,v1,6,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
combined_game_arcade,culture,game,v1,4633,50,31,APVCANCELYMD AUTOCHAAIRYN BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT BGROOMYN CLGENDDT CLGSTDT CNVEFACILYN CULPHYEDCOBNM CULWRKRSENM EMERSTAIRYN EMEXYN FACILAR FIREFACILYN JISGNUMLAY LGHTFACILINILLU LGHTFACILYN MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PRVDGATHINNM REGNSENM SOUARFACILYN SOUNDFACILYN SPECLGHTYN TOTGASYSCNT TOTNUMLAY UNDERNUMLAY VDORETORNM
combined_video_service,culture,film_video,v1,34,50,31,APVCANCELYMD AUTOCHAAIRYN BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT BGROOMYN CLGENDDT CLGSTDT CNVEFACILYN CULPHYEDCOBNM CULWRKRSENM EMERSTAIRYN EMEXYN FACILAR FIREFACILYN JISGNUMLAY LGHTFACILINILLU LGHTFACILYN MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PRVDGATHINNM REGNSENM SOUARFACILYN SOUNDFACILYN SPECLGHTYN TOTGASYSCNT TOTNUMLAY UNDERNUMLAY VDORETORNM
convention_facility,culture,tourism,v1,5,48,29,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
