table,kind,n_members,n_payload,n_shared,members,key_columns,payload_columns
gold_detail_sale,cluster,21,20,19,bakery container_pkg_mfg contract_meal_service distribution_sale edible_ice_sale entertainment_bar food_additive_mfg food_cold_storage food_mfg food_sale_etc food_subdivision food_transport food_vending general_restaurant group_meal_facility group_meal_food_sale hfood_dist_sale hfood_general_sale instant_sale_mfg rest_restaurant singing_bar,dataset opnsfteamcode mgtno collected_at content_hash,BDNGOWNSENM FACILTOTSCP FCTYOWKEPCNT FCTYPDTJOBEPCNT FCTYSILJOBEPCNT HOFFEPCNT HOMEPAGE ISREAM JTUPSOASGNNO JTUPSOMAINEDF LVSENM MANEIPCNT MONAM MULTUSNUPSOYN SITEAREA SNTUPTAENM TRDPJUBNSENM UPTAENM WMEIPCNT WTRSPLYFACILSENM
gold_detail_film_video,cluster,16,22,13,cinema film_distribution film_import film_production film_screening game_distribution game_production music_video_distribution music_video_production online_music_service performance_hall pop_culture_agency printing_shop publisher video_distribution video_production,dataset opnsfteamcode mgtno collected_at content_hash,ACTLNM APVCANCELYMD BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT CLGENDDT CLGSTDT CULPHYEDCOBNM CULWRKRSENM FACILAR FACILSCP FRSTREGTS JISGNUMLAY MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PERPLAFORMSENM PRVDGATHINNM REGNSENM TOTNUMLAY UNDERNUMLAY
gold_detail_tourism,cluster,15,31,29,auto_campground city_tour_bus convention_facility convention_planning domestic_travel_agency foreigner_entertainment_bar general_campground general_travel_agency overseas_travel_agency resort_complex tour_cruise tour_entertainment_bar tour_restaurant tourist_cabaret tourist_performance_hall,dataset opnsfteamcode mgtno collected_at content_hash,APVCANCELYMD BDNGSRVNM CAPT CHAIRCNT CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM ENGSTNTRNMADDR ENGSTNTRNMNM FACILAR FACILSCP INSURENDDT INSURORGNM INSURSTDT JISGNUMLAY MEETSAMTIMESYGSTF MNFACTREARTCLCN NEARENVNM PLNINSURENDDT PLNINSURSTDT REGNSENM SHPCNT SHPINFO SHPTOTTONS STAGEAR STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY
gold_detail_sports,cluster,11,14,11,billiard_hall dance_academy dance_hall fitness_center golf_course golf_range ice_rink martial_arts_gym sled_park swimming_pool yacht_marina,dataset opnsfteamcode mgtno collected_at content_hash,APVCANCELYMD BDNGDNGNUM BDNGYAREA BUPNM CLGENDDT CLGSTDT CULPHYEDCOBNM DRMKCOBNM INSURJNYNCODE LDERCNT MEMCOLLTOTSTFNUM PUPRSENM SITEAREA UPTAENM
gold_detail_game,cluster,9,31,31,combined_game_arcade combined_video_service general_game_arcade internet_game_cafe karaoke_room video_small_theater video_viewing_room video_viewing_service youth_game_arcade,dataset opnsfteamcode mgtno collected_at content_hash,APVCANCELYMD AUTOCHAAIRYN BDNGSRVNM BFGAMEOCPTECTCOBNM BGROOMCNT BGROOMYN CLGENDDT CLGSTDT CNVEFACILYN CULPHYEDCOBNM CULWRKRSENM EMERSTAIRYN EMEXYN FACILAR FIREFACILYN JISGNUMLAY LGHTFACILINILLU LGHTFACILYN MNFACTREARTCLCN NEARENVNM NOROOMCNT PASGBRETH PRVDGATHINNM REGNSENM SOUARFACILYN SOUNDFACILYN SPECLGHTYN TOTGASYSCNT TOTNUMLAY UNDERNUMLAY VDORETORNM
gold_detail_beauty,cluster,4,22,16,barber_shop bathhouse beauty_shop laundry,dataset opnsfteamcode mgtno collected_at content_hash,ABEDCNT BALHANSILYN BDNGJISGFLRCNT BDNGOWNSENM BDNGUNDERFLRCNT CHAIRCNT CNDPERMENDYMD CNDPERMNTWHY CNDPERMSTYMD MANEIPCNT MULTUSNUPSOYN RCVDRYNCNT SITEAREA SNTUPTAENM UPTAENM USEJISGENDFLR USEJISGSTFLR USEUNDERENDFLR USEUNDERSTFLR WASHMCCNT WMEIPCNT YOKSILCNT
gold_detail_manure,cluster,4,5,5,livestock_manure_transport manure_facility_mgmt septic_tank_construction sewage_transport,dataset opnsfteamcode mgtno collected_at content_hash,BZSTAT_SE_NM CTGRY_NM ENVM_TASK_SE_NM ROBIZ_YMD TPBIZ_SE_NM
gold_detail_amusement,cluster,3,28,20,amusement_etc full_amusement_park general_amusement_park,dataset opnsfteamcode mgtno collected_at content_hash,APVCANCELYMD BCFACILEN BDNGSRVNM CLGENDDT CLGSTDT CNSTYAREA CULPHYEDCOBNM CULWRKRSENM DISPENEN FACILAR FACILSCP GEICPFACILEN INFOBEN JISGNUMLAY MNFACTREARTCLCN NEARENVNM PLAYFACILCNT PLAYUTSCNTDTL PLNINSURENDDT PLNINSURSTDT REGNSENM SHPTOTTONS SITEAREA STROOMCNT SVNSR TOTNUMLAY UNDERNUMLAY UPTAENM
gold_detail_institution,cluster,3,11,9,affiliated_medical clinic medical_corporation,dataset opnsfteamcode mgtno collected_at content_hash,APVCANCELYMD CLGENDDT CLGSTDT HSTRMNUM MEDEXTRITEMSCN MEDEXTRITEMSCNNM METRORGASSRNM METRPNUM SICBNUM TOTAR UPTAENM
gold_detail_env_service,cluster,2,26,24,env_construction env_measurement,dataset opnsfteamcode mgtno collected_at content_hash,BIZOFC_AREA BPLC_SE_NM BZSTAT_SE_NM CNSGN_BZENTY_NM LAB_AREA LAB_BAN LAB_HO LAB_MTN LAB_RDN_CD LAB_RDN_EMD_CD LAB_RDN_EMD_SE LAB_RDN_FLR_SE LAB_RDN_MAIN_NO LAB_RDN_SGG_CD LAB_RDN_SPCL_ADDR LAB_RDN_SUB_NO LAB_RDN_ZIP LAB_RGN_CD LAB_SPCL_ADDR LAB_SPCL_CU LAB_SPCL_DONG LAB_SPCL_HO LAB_STRA LAB_TONG LAB_ZIP ROBIZ_YMD
