game_date,game_time,stadium,home_team,away_team
2026-07-16,18:30,잠실야구장,LG,KT
2026-07-17,18:30,잠실야구장,LG,KT
2026-07-18,18:00,잠실야구장,LG,KT
2026-07-19,17:00,잠실야구장,LG,KT
2026-07-21,18:30,고척스카이돔,키움,삼성
2026-07-21,18:30,잠실야구장,LG,NC
2026-07-22,18:30,고척스카이돔,키움,삼성
2026-07-22,18:30,잠실야구장,LG,NC
2026-07-23,18:30,고척스카이돔,키움,삼성
2026-07-23,18:30,잠실야구장,LG,NC
2026-07-24,18:30,잠실야구장,두산,삼성
2026-07-25,18:00,잠실야구장,두산,삼성
2026-07-26,17:00,잠실야구장,두산,삼성
2026-07-28,18:30,잠실야구장,LG,키움
2026-07-29,18:30,잠실야구장,LG,키움
2026-07-30,18:30,잠실야구장,LG,키움
2026-07-31,18:30,고척스카이돔,키움,SSG
2026-07-31,18:30,잠실야구장,두산,LG
2026-08-01,18:00,잠실야구장,두산,LG
2026-08-01,18:00,고척스카이돔,키움,SSG
2026-08-02,14:00,고척스카이돔,키움,SSG
2026-08-02,18:00,잠실야구장,두산,LG
2026-08-04,18:30,잠실야구장,두산,NC
2026-08-05,18:30,잠실야구장,두산,NC
2026-08-06,18:30,잠실야구장,두산,NC
2026-08-07,18:30,잠실야구장,LG,KIA
2026-08-08,18:00,잠실야구장,LG,KIA
2026-08-09,18:00,잠실야구장,LG,KIA
2026-08-11,18:30,잠실야구장,두산,한화
2026-08-11,18:30,고척스카이돔,키움,LG
2026-08-12,18:30,잠실야구장,두산,한화
2026-08-12,18:30,고척스카이돔,키움,LG
2026-08-13,18:30,잠실야구장,두산,한화
2026-08-13,18:30,고척스카이돔,키움,LG
2026-08-14,18:30,잠실야구장,LG,SSG
2026-08-15,18:00,잠실야구장,LG,SSG
2026-08-16,18:00,잠실야구장,LG,SSG
2026-08-18,18:30,잠실야구장,LG,KT
2026-08-19,18:30,잠실야구장,LG,KT
2026-08-20,18:30,잠실야구장,LG,KT
2026-08-21,18:30,잠실야구장,두산,롯데
2026-08-21,18:30,고척스카이돔,키움,KIA
2026-08-22,18:00,잠실야구장,두산,롯데
2026-08-22,18:00,고척스카이돔,키움,KIA
2026-08-23,14:00,고척스카이돔,키움,KIA
2026-08-23,18:00,잠실야구장,두산,롯데
2026-08-25,18:30,잠실야구장,LG,NC
2026-08-25,18:30,고척스카이돔,키움,삼성
2026-08-26,18:30,잠실야구장,LG,NC
2026-08-26,18:30,고척스카이돔,키움,삼성
2026-08-27,18:30,잠실야구장,LG,NC
2026-08-27,18:30,고척스카이돔,키움,삼성
2026-08-28,18:30,잠실야구장,두산,키움
2026-08-29,18:00,잠실야구장,두산,키움
2026-08-30,18:00,잠실야구장,두산,키움
2026-09-01,18:30,잠실야구장,두산,LG
2026-09-01,18:30,고척스카이돔,키움,SSG
2026-09-02,18:30,잠실야구장,두산,LG
2026-09-02,18:30,고척스카이돔,키움,SSG
2026-09-03,18:30,잠실야구장,두산,LG
2026-09-03,18:30,고척스카이돔,키움,SSG
2026-09-04,18:30,잠실야구장,LG,삼성
2026-09-04,18:30,고척스카이돔,키움,NC
2026-09-05,17:00,잠실야구장,LG,삼성
2026-09-05,17:00,고척스카이돔,키움,NC
2026-09-06,17:00,잠실야구장,LG,삼성
2026-09-06,17:00,고척스카이돔,키움,NC
