keyword,gu,priority,latitude,longitude
서소문본관,중구,10,37.5641,126.9738
북서울,노원구,10,37.6295,127.0667
난지,마포구,10,37.5661,126.8788
남서울,관악구,10,37.4728,126.9793
SeMA 창고,은평구,10,37.6109,126.9345
벙커,영등포구,10,37.5254,126.9276
사진미술관,도봉구,10,37.6540,127.0479
미술아카이브,종로구,10,37.6115,126.9670
서서울,금천구,10,37.4525,126.9019
백남준,종로구,10,37.5726,127.0155
경희궁,종로구,8,,
충무아트,중구,8,,
금나래,금천구,8,,
갤러리관악,관악구,8,,
예송,송파구,8,,
인재개발원,서초구,8,,
서울숲,성동구,8,,
역삼,강남구,6,,
상암,마포구,6,,
본관,중구,5,,
금천구,금천구,5,,
관악,관악구,5,,
동작,동작구,5,,
영등포,영등포구,5,,
송파,송파구,5,,
용산,용산구,5,,
도봉,도봉구,5,,
중랑,중랑구,5,,
성북,성북구,5,,
